,Epoch,Step,Discriminator Loss,Generator Classification Loss,Generator MSE Loss,Generator Loss
0,0,19,1.2688285380601882,0.6613324731588364,0.10473765172064305,0.1060603154823184
1,0,39,0.7645647153258324,0.4361758932471275,0.032063134014606476,0.03293548598885536
2,0,59,0.6348969623446464,0.41816056072711943,0.026451190281659365,0.027287511527538298
3,0,79,0.5837145879864692,0.2973043203353882,0.02519264128059149,0.025787249859422445
4,0,99,0.7201633334159852,0.2836756661534309,0.023433399479836227,0.024000750947743656
5,0,119,0.5775202184915542,0.257329285889864,0.02223677923902869,0.022751437779515982
6,0,139,0.6880162492394447,0.2695657156407833,0.02219939697533846,0.022738528344780205
7,0,159,0.5651351675391197,0.22656721621751785,0.020997387077659368,0.021450521517544986
8,0,179,0.5556106522679329,0.19544863179326058,0.02033877968788147,0.02072967691347003
9,1,19,0.645289757847786,0.22755500599741935,0.022490270249545575,0.022945380117744208
10,1,39,0.5725621476769447,0.20973444804549218,0.01994009641930461,0.020359565457329153
11,1,59,0.5624507620930672,0.19960762821137906,0.018849841272458433,0.019249056512489916
12,1,79,0.5576057866215706,0.1905799277126789,0.019513218197971582,0.01989437835291028
13,1,99,0.5580079838633537,0.16362309865653515,0.017763398587703705,0.018090644758194684
14,1,119,0.5483488216996193,0.1754162535071373,0.01911688195541501,0.01946771452203393
15,1,139,0.5472727522253991,0.17171242386102675,0.018292151484638454,0.018635576218366624
16,1,159,0.5445168033242226,0.15889680236577988,0.018028374714776873,0.018346168333664536
17,1,179,0.5493274569511414,0.16073151417076587,0.0177757712546736,0.01809723414480686
18,2,19,0.6320686385035514,0.17889288254082203,0.020393251115456222,0.020751037076115607
19,2,39,0.5441658914089202,0.15797180458903312,0.017482496658340098,0.017798440298065543
20,2,59,0.5438556492328643,0.15855621360242367,0.01736122495494783,0.01767833735793829
21,2,79,0.541290833055973,0.15307698734104633,0.017888372857123615,0.018194526759907605
22,2,99,0.5462969481945038,0.16246741637587547,0.017655181232839823,0.01798011581413448
23,2,119,0.5445010855793952,0.15179006569087505,0.019289883971214294,0.019593464210629463
24,2,139,0.5968007698655129,0.18127880319952966,0.0174441693816334,0.017806727066636087
25,2,159,0.54891407340765,0.14949404038488864,0.018657969776540995,0.01895695789717138
26,2,179,0.5466044276952744,0.15332232043147087,0.017885074438527226,0.018191719148308038
27,3,19,0.709237402677536,0.1844553265720606,0.02028249315917492,0.020651403907686473
28,3,39,0.5471908718347549,0.16713594757020472,0.016598649183288218,0.016932921251282096
29,3,59,0.5423073247075081,0.17247614338994027,0.01762600364163518,0.01797095574438572
30,3,79,0.544223839044571,0.16822012960910798,0.01734152128919959,0.017677961476147176
31,3,99,0.5476347148418427,0.1613512523472309,0.01697337329387665,0.017296075960621236
32,3,119,0.5396957352757454,0.15877338126301765,0.016797973634675147,0.017115520592778922
33,3,139,0.5404743671417236,0.14962463304400445,0.016535020619630813,0.016834269929677247
34,3,159,0.5377369582653045,0.14976700097322465,0.016998811066150664,0.017298344988375902
35,3,179,0.5399387702345848,0.14622169882059097,0.017076138081029056,0.017368581611663103
36,4,19,0.6195848941802978,0.17898917496204375,0.018388212472200394,0.01874619098380208
37,4,39,0.5381728127598763,0.14330337047576905,0.018073871731758118,0.018360478430986406
38,4,59,0.5395486935973167,0.14790133163332939,0.017266488494351508,0.01756229125894606
39,4,79,0.5432238504290581,0.16080558225512503,0.015982787078246474,0.0163043980486691
40,4,99,0.5433250486850738,0.15034619718790054,0.01612585815601051,0.016426550457254052
41,4,119,0.5375221580266952,0.14188130795955659,0.016582678817212582,0.01686644139699638
42,4,139,0.5367266640067101,0.13953641280531884,0.016777767986059188,0.017056840797886254
43,4,159,0.537805013358593,0.1324177898466587,0.016093310387805104,0.016358145978301764
44,4,179,0.5369406580924988,0.1317242354154587,0.01684029963798821,0.01710374802350998
45,5,19,0.6178321033716202,0.16096171885728836,0.018094262620434166,0.018416186142712832
